name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,total_reviews,reviews_per_month,host_listings_count,availability_365,number_of_reviews_ltm,has_license
NYC Hideaway Urban Suite,Christopher,Bronx,Pelham Bay,40.85496,-73.82958,Entire home/apt,166.0,30,5,0.06,2,363,0,0
Charming Apartment in Brooklyn,"Caroline,J",Brooklyn,Bedford-Stuyvesant,40.6927,-73.94513,Entire home/apt,79.0,30,179,2.2,9,220,3,0
Awesome Cozy Room in The Heart of Sunnyside!,Kara,Queens,Sunnyside,40.74104,-73.92636,Private room,50.0,60,54,0.66,1,180,2,0
Elegant 2brm 2bath Loft . Terrace,James,Manhattan,SoHo,40.72644,-74.0006,Entire home/apt,330.0,30,89,1.09,3,150,7,0
Private Room # 4.,Masud,Brooklyn,Cypress Hills,40.684,-73.87843,Private room,35.0,30,3,0.05,5,150,1,0
Heart of Gramercy: Quiet & Spacious Studio,Kat,Manhattan,Gramercy,40.73655,-73.98787,Entire home/apt,411.0,30,91,1.12,1,91,2,0
Townhouse Apartment steps away from Central Park,Joanne,Manhattan,Upper East Side,40.77741,-73.96258,Entire home/apt,325.0,30,259,3.17,1,88,4,0
String lights home 1 min to subway,Ting Yi,Brooklyn,Bushwick,40.68714,-73.91556,Entire home/apt,124.0,30,184,2.24,2,297,2,0
Gowanus/Park Slope Garden Duplex w Washer/Dryer,Stacey,Brooklyn,Gowanus,40.6685,-73.99177,Entire home/apt,186.0,30,208,2.56,1,230,8,0
Huge Artist Loft Space - Red Hook,Gabriel,Brooklyn,Red Hook,40.67887,-74.00785,Entire home/apt,250.0,30,88,1.08,1,2,0,0
Lovely private room in spacious top floor condo,Dave,Brooklyn,Crown Heights,40.67211,-73.92631,Private room,95.0,30,5,0.06,1,177,0,0
Sweet Lower Manhattan/Tribeca Loft Suite,Jill.L,Manhattan,Tribeca,40.71788787841797,-74.00497436523438,Entire home/apt,258.0,30,17,0.21,3,128,3,0
Charming★Central★Clean★Quiet 2BRDuplex☼Balcony★LES,Patricia,Manhattan,Lower East Side,40.7187,-73.98566,Entire home/apt,170.0,30,22,0.42,1,238,6,0
Bed+bath+kitchen+garden+own entry. JUST RENOVATED!,Sarah,Brooklyn,Crown Heights,40.67094,-73.94989,Entire home/apt,200.0,30,32,0.92,1,192,1,0
Tourist spot,Pnb,Bronx,Longwood,40.81541,-73.90144,Private room,32.0,30,61,0.75,1,337,0,0
Private Apartment w/Sunny Balcony in Riverdale NYC,Tamara,Bronx,North Riverdale,40.90341,-73.90199,Entire home/apt,124.0,120,48,0.59,1,362,2,0
The Lexy II • Vibe 8611,Darren,Manhattan,Kips Bay,40.74533081054688,-73.9798583984375,Entire home/apt,103.0,30,18,0.25,138,347,5,0
"Charming Duplex, Old World Greenwich Village",Evelyn,Manhattan,West Village,40.73088,-74.00328,Entire home/apt,596.0,2,11,0.15,5,9,3,1
Gorgeous Brooklyn Living,Andrew,Brooklyn,Park Slope,40.66951,-73.98206,Entire home/apt,223.0,30,1,0.24,2,364,1,0
Hidden Gem in Canarsie-FREE private parking,Rodolfo,Brooklyn,Canarsie,40.64558,-73.89528,Private room,71.0,30,171,2.11,1,178,0,0
Sunny East Village apartment,Angela,Manhattan,East Village,40.72824,-73.98533,Entire home/apt,218.0,30,2,0.04,1,132,1,0
Private Kosher Apt for L E $ $  near  Subway,Uri,Brooklyn,Midwood,40.62441,-73.96072,Entire home/apt,69.0,30,44,0.62,3,304,2,0
Summer Luxury in Harlem !!!,Jared,Manhattan,Harlem,40.80959,-73.94377,Shared room,2025.0,30,8,0.1,1,83,0,0
Garden Oasis on Prime East 62nd Street,Lia,Manhattan,Upper East Side,40.76418,-73.96742,Entire home/apt,165.0,30,11,0.16,6,61,2,0
A Muse Inn,Blake,Brooklyn,Williamsburg,40.70794,-73.93511,Entire home/apt,172.0,30,73,1.05,2,173,0,0
Great place in Propspect heights/Crown heights,Chris,Brooklyn,Crown Heights,40.67667,-73.95273,Private room,75.0,30,4,0.06,1,365,0,0
Queens home in quiet neighborhood,Anthony,Queens,St. Albans,40.70453,-73.76203,Private room,55.0,30,73,0.91,2,270,0,0
"Quiet Room near RUMC (1st floor, Room 2)",Ervis,Staten Island,West Brighton,40.63414,-74.1135,Private room,45.0,30,24,0.35,7,363,4,0
Clean & Comfortable 3BR in Prime Park Slope,Anh & David,Brooklyn,Park Slope,40.6726,-73.98226,Entire home/apt,139.0,30,289,3.56,2,17,2,0
Sunny Sanctuary Near Prospect Park,Sai,Brooklyn,Crown Heights,40.67463,-73.95926,Entire home/apt,200.0,30,8,0.1,1,263,0,0
Nice one bedroom near United Nations,Stanley,Manhattan,Murray Hill,40.7483,-73.9775,Entire home/apt,160.0,30,2,0.05,83,365,0,0
NY Hilton Club 2BR 2BA Condo Hotel,Mary,Manhattan,Midtown,40.76134310646883,-73.97905576220876,Entire home/apt,1099.0,3,7,0.09,1,8,1,1
Room in Brooklyn,Nuno,Brooklyn,Bedford-Stuyvesant,40.68446,-73.95535,Private room,120.0,30,133,1.65,1,178,0,0
The Yorkville Gem,Janine,Manhattan,Upper East Side,40.78067,-73.95019,Shared room,141.0,30,15,0.21,1,87,0,0
"Extra Large, Brand New Loft!",Jose,Queens,East Elmhurst,40.76595,-73.88185,Entire home/apt,92.0,30,45,1.38,1,312,0,0
Deluxe Double Room with 2 Beds Shared Bath,Reservation Desk,Manhattan,Gramercy,40.73453,-73.98353,Private room,81.0,30,9,0.11,20,305,2,0
Historic penthouse apartment on Saint Marks Place,Chelsea,Manhattan,East Village,40.72802,-73.98873,Entire home/apt,372.0,30,167,2.06,1,89,1,0
Cozy Home in Central Brooklyn,Christopher,Brooklyn,Flatbush,40.63297,-73.95569,Entire home/apt,167.0,1,55,6.18,1,42,55,1
Good Vibe Large Bedroom in Bushwick,Steven,Queens,Ridgewood,40.70112,-73.90908,Private room,60.0,30,7,0.09,1,179,0,0
Brooklyn Brownstone (gray bedroom - single bed),Julie,Brooklyn,South Slope,40.66201,-73.98125,Private room,92.0,5,51,0.63,1,52,25,1
Voted #1 Airbnb In NYC,Maria,Queens,Jamaica,40.68981,-73.80105,Entire home/apt,78.0,30,31,0.38,1,284,0,0
Luxury UES 1 bed 1 bath Doorman & Elevator,Zahi,Manhattan,Upper East Side,40.76508,-73.96205,Entire home/apt,400.0,30,1,0.68,1,335,1,0
Private insuite bathroom in sunny room,Diana,Brooklyn,Bedford-Stuyvesant,40.6957,-73.93488,Private room,104.0,5,139,1.72,4,19,30,1
Updated Comfy East Flatbush 2 Flat,Steph,Brooklyn,East Flatbush,40.65077,-73.92951,Entire home/apt,75.0,30,19,0.23,2,88,2,0
Brownstone 5 Bdr Duplex~Extended Stay~Housekeeping,Kelly,Brooklyn,Bedford-Stuyvesant,40.68261,-73.91896,Entire home/apt,325.0,30,91,1.11,3,335,4,0
Fanta Sea Home 2,Jewell,Brooklyn,Brownsville,40.66513,-73.91682,Private room,60.0,30,48,0.61,3,365,2,0
"Blueground | UES, balcony, gym & doorman",Blueground,Manhattan,Upper East Side,40.77595,-73.95559,Entire home/apt,288.0,31,1,0.01,1194,316,0,0
* The Business Travelers Room *,Carlos,Queens,Elmhurst,40.74363229423362,-73.88170284631398,Private room,69.0,5,165,2.03,5,300,29,1
"Cozy 1 bedroom apartment in Throggs neck, bronx",George,Bronx,Throgs Neck,40.8215,-73.83645,Entire home/apt,100.0,30,25,0.31,1,89,0,0
Bedstuy spacious townhouse w. amazing backyard,Gabriel,Brooklyn,Bedford-Stuyvesant,40.68282,-73.92604,Entire home/apt,248.0,30,0,0.0,1,263,0,0
New York Oasis - ENTIRE PLACE,Aliesha,Manhattan,Upper East Side,40.76922,-73.95263,Entire home/apt,113.0,30,37,0.47,1,149,0,0
Convenient Modern Brooklyn Studio Apartment byPark,Jessica,Brooklyn,Prospect-Lefferts Gardens,40.66156,-73.95902,Entire home/apt,87.0,30,95,1.17,1,202,3,0
Summertime Cheery Harlem Brownstone,Catherine,Manhattan,Harlem,40.80752,-73.95279,Entire home/apt,1350.0,30,28,0.35,1,149,0,0
"Lovely room with private bathroom, near Manhattan",Jose,Queens,Sunnyside,40.73498,-73.91854,Private room,141.0,30,86,1.09,7,360,0,0
Cozy neat & tidy ROOM close to UN and Central Park,Jose,Manhattan,Upper East Side,40.76121,-73.95962,Private room,57.0,30,14,0.17,1,76,0,0
DOUBLE SHARED BATHROOM,Reservation Desk,Manhattan,Gramercy,40.73471,-73.98546,Private room,73.0,30,6,0.09,20,295,1,0
"""I LOVE BROOKLYN""  Newly Renovated Studio APT.",R.J,Brooklyn,Bedford-Stuyvesant,40.68966,-73.94624,Entire home/apt,135.0,1,409,5.0,5,21,62,1
BEAUTIFUL STUDIO ON UPPER EAST SIDE/ CENTRAL PARK,Inna,Manhattan,Upper East Side,40.769516,-73.956444,Entire home/apt,118.0,30,30,0.38,46,317,4,0
Private Studio in Queens,Yossi,Queens,Kew Gardens Hills,40.7239145767153,-73.81678408489155,Entire home/apt,95.0,30,223,2.73,1,71,0,0
Studio Deluxe,Franklin,Brooklyn,Greenpoint,40.73262,-73.95905,Entire home/apt,228.0,3,37,0.79,3,323,10,1
Deluxe Loft Suite,Franklin,Brooklyn,Greenpoint,40.73216,-73.95881,Entire home/apt,394.0,3,14,0.18,3,339,1,1
1Bedroom 15min Train ride to the Heart of NEW YORK,Brígida,Manhattan,Washington Heights,40.83666,-73.9403,Private room,74.0,30,98,1.2,1,178,0,0
Fully furnished apartment in a convenient location,Bridge,Manhattan,Upper East Side,40.75934,-73.96075,Entire home/apt,75.0,60,8,0.12,15,208,0,0
"Cozy Room: 7 Minutes to LGA, 20 min to Manhattan !",Freddy,Queens,Jackson Heights,40.75744,-73.85988,Private room,55.0,30,301,3.77,3,90,1,0
Super Convenient Park Slope Room (subway - 2 min.),Andrew,Brooklyn,Gowanus,40.66978,-73.99045,Private room,97.0,2,370,4.69,2,11,69,1
Luxury Historic Brooklyn Apt in Bed Stuy - Legal,Christof,Brooklyn,Bedford-Stuyvesant,40.68269,-73.91188,Entire home/apt,313.0,30,56,0.76,3,305,1,0
"Private, Modern, Garden Apt - Historic Ditmas Park",Hilary,Brooklyn,Flatbush,40.64157,-73.96677,Entire home/apt,140.0,30,36,0.45,1,136,1,0
Freehand New York - Private Bunk Room,Freehand,Manhattan,Flatiron District,40.7403,-73.98599,Private room,209.0,1,510,6.37,6,323,93,1
Red Hook private suite in a home,Roberto,Brooklyn,Red Hook,40.67617,-74.01191,Private room,133.0,4,106,1.32,1,134,19,1
Nice Room in Brooklyn Near Maimonides Hospital,Qingming,Brooklyn,Borough Park,40.64072,-73.99787,Private room,43.0,30,4,0.13,7,269,0,0
Big Apple Slice of History with Breakfast Included,Carmen,Manhattan,East Village,40.72567,-73.97768,Private room,89.0,30,52,0.65,1,89,0,0
Modern private guest suite close to Prospect Park,Nicole,Brooklyn,Kensington,40.64318,-73.98247,Private room,140.0,30,140,2.17,1,179,0,0
Sunny Guest Suite Victorian Townhome.,Elizabeth,Brooklyn,Crown Heights,40.67770855842678,-73.94611688786252,Private room,120.0,7,94,1.19,2,64,22,1
Perfect private studio apt in Carroll Gardens.,Dena,Brooklyn,Carroll Gardens,40.68084,-73.99287,Entire home/apt,95.0,30,91,1.14,2,30,0,0
Large 1-bedroom near Times Square,Emmanuel,Manhattan,Hell's Kitchen,40.76241,-73.99148,Entire home/apt,122.0,30,34,0.42,1,243,4,0
"Huge Rm W. Extension Pvt Bathroom,Entrance and Flr",George,Manhattan,Harlem,40.80521,-73.95026,Private room,291.0,2,45,0.56,1,78,0,1
"Bright, charming studio in prime West Village",Coco,Manhattan,West Village,40.73395,-74.00721,Entire home/apt,185.0,30,219,2.73,1,235,1,0
The Unique Home in New York City,Daniel,Brooklyn,Bushwick,40.68831,-73.91589,Entire home/apt,200.0,30,146,1.94,4,60,4,0
Cassa Hotel and Residences 1BR,Salim,Manhattan,Midtown,40.75634,-73.98222,Entire home/apt,190.0,30,0,0.0,3,114,0,0
Cassa Hotel and Residences,Salim,Manhattan,Midtown,40.75634,-73.98222,Entire home/apt,325.0,30,0,0.0,3,117,0,0
PentHouse At Cassa Hotel and Residences,Salim,Manhattan,Theater District,40.75727,-73.98298,Entire home/apt,1000.0,30,0,0.0,3,358,0,0
Organic Bohemian Pad in Brooklyn,Sadie,Brooklyn,Bedford-Stuyvesant,40.68757,-73.92117,Private room,67.0,30,148,1.85,1,110,2,0
Cozy place II,Genny,Staten Island,Port Richmond,40.63411,-74.13358,Private room,44.0,30,64,0.79,2,336,4,0
Charming spacious garden level apt,Sarah,Brooklyn,Flatbush,40.64045,-73.9534,Entire home/apt,70.0,30,97,1.21,2,269,0,0
Entire 2 Bedroom Elegant Suite w Modern Amenities,Akem & Terry,Brooklyn,Cypress Hills,40.67819,-73.89364,Entire home/apt,95.0,30,67,0.83,1,302,4,0
Scandinavian Serenity Loft,Anita & Peter,Brooklyn,Williamsburg,40.72045,-73.96012,Entire home/apt,110.0,30,31,0.39,1,8,1,0
Private Room Brooklyn. Near Maimonides hospital,Ia,Brooklyn,Borough Park,40.6431,-74.00045,Private room,49.0,31,13,0.31,1,346,5,0
Bright and Spacious Gorgeous Home,Asaf,Staten Island,Willowbrook,40.59919,-74.13389,Entire home/apt,210.0,30,52,0.65,4,270,0,0
Chez Jesse Vacation Spot - Loft,Jesse,Manhattan,East Harlem,40.80825,-73.93708,Private room,77.0,1,219,2.79,4,111,40,1
Monthly Giant Room-Next to A-B-C-D-Washer & Dryer,Ozzy,Manhattan,Harlem,40.82429,-73.94602,Private room,58.0,30,13,0.16,6,153,3,0
Riverdale Room,Aldo,Bronx,Kingsbridge,40.88149,-73.91013,Private room,50.0,30,6,0.26,2,364,0,0
Spacious room near train stations LIC,Antonio,Queens,Long Island City,40.75407,-73.93148,Private room,122.0,30,10,0.13,3,90,2,0
"Hi-ceiling, Studio, Flatiron NYC",Aleksandar,Manhattan,Kips Bay,40.73961,-73.97991,Entire home/apt,179.0,30,27,0.34,1,181,0,0
Yva’s Oasis,Yva,Brooklyn,Mill Basin,40.61263368941679,-73.92198979528236,Entire home/apt,100.0,30,68,0.85,1,364,0,0
NewlyBuilt+Terrace 3min▶︎Subway 30min Manhattan,Hiroki,Queens,Elmhurst,40.73862,-73.87707,Private room,36.0,30,3,0.07,254,36,0,0
"1 bedroom, with all amenities",Buddy And Trish,Queens,Ozone Park,40.67851,-73.84083,Private room,65.0,30,0,0.0,2,365,0,0
Newly renovated hidden gem in nyc,Buddy And Trish,Queens,Ozone Park,40.67698,-73.84091,Entire home/apt,104.0,30,2,0.07,2,365,0,0
Top private floor of a duplex in Nolita,Sammy,Manhattan,Lower East Side,40.72239,-73.99314,Private room,298.0,30,66,2.27,1,365,2,0
Spacious duplex for creatives in Brooklyn,O,Brooklyn,Bedford-Stuyvesant,40.68039,-73.94368,Entire home/apt,431.0,30,19,0.44,1,178,0,0
Sleek 3BR/2BA: Train@900ft/NYC30mn by nycHubHomes,Jeff,Queens,Jamaica,40.71107,-73.78388,Entire home/apt,54.0,30,37,0.46,5,244,1,0
Sunny Room in Brooklyn 2,Karen,Brooklyn,East Flatbush,40.64559,-73.92388,Private room,38.0,30,16,0.2,4,323,2,0
20 Minutes to Times Square - 3 Bedroom House,Mehedhi,Queens,Woodside,40.74173,-73.90586,Entire home/apt,142.0,30,237,2.92,1,173,1,0
Near To The City That Never Sleep! #2,Maria,Staten Island,Mariners Harbor,40.62935,-74.16225,Private room,60.0,30,3,0.05,1,365,0,0
Perfect location for NYC getaway,Angela,Brooklyn,Williamsburg,40.71821,-73.94442,Entire home/apt,135.0,30,276,3.42,5,180,0,0
Bedroom & Private Bathroom in Brooklyn!,Tami,Brooklyn,Borough Park,40.64733,-73.995083,Private room,100.0,3,199,2.52,1,18,43,1
A Great Room in Heart of NYC,Sinem,Manhattan,Lower East Side,40.71924,-73.98992,Private room,89.0,30,9,0.13,3,270,0,0
Private Room-Chinatown/Soho/LittleItaly.HeartofNYC,Ben,Manhattan,Chinatown,40.71375,-73.99905,Private room,102.0,30,43,0.53,1,146,2,0
Beautiful Queens Home close to JFK and LGA,Hamad,Queens,Queens Village,40.70635,-73.74056,Entire home/apt,1800.0,31,222,2.74,1,89,0,0
Beautiful luxury loft studio at best location,Oof,Brooklyn,Williamsburg,40.72143,-73.96344,Entire home/apt,165.0,30,2,0.02,1,213,0,0
M2 A cozy well lit room sleeps 2 on  2 single beds,Carol Gloria,Bronx,Clason Point,40.81323,-73.85321,Private room,78.0,30,8,0.11,6,0,0,0
U2 Cozy comfortable double bed sleeps 2 guests,Carol Gloria,Bronx,Clason Point,40.81185,-73.85336,Private room,96.0,30,4,0.06,6,0,0,0
"Fifth Element: 7bd, private home free cancellation",Edwin,Bronx,Pelham Gardens,40.86105,-73.84443,Entire home/apt,99.0,30,108,1.35,2,365,0,0
2 Stops from Manhattan in Trendy LIC,Christina,Queens,Long Island City,40.75465,-73.93702,Entire home/apt,424.0,30,56,0.69,1,173,0,0
"Sweet cozy entire 1-bedroom Apt, central Brooklyn",Denna,Brooklyn,East Flatbush,40.6636,-73.93941,Entire home/apt,113.0,30,26,0.32,1,122,5,0
Quiet Bedroom in Prime Harlem Location.,Nadia,Manhattan,Harlem,40.80116,-73.95043,Private room,92.0,30,123,1.52,1,149,1,0
Esteem's Place Deux,Esteem,Bronx,Parkchester,40.83674,-73.85827,Private room,50.0,30,101,1.26,1,337,2,0
Cesar's Palace (Perfect for RNs & Grad students),Cesar,Bronx,Pelham Gardens,40.8615,-73.83775,Entire home/apt,146.0,30,142,1.77,1,244,3,0
AIRY & BREEZY,Fifi,Manhattan,Harlem,40.81262,-73.95326,Private room,150.0,30,4,0.05,2,0,0,0
Comfy convenient apt 3 block from Main st Flushing,Tony,Queens,Flushing,40.7565,-73.83356,Entire home/apt,159.0,30,156,1.93,7,0,2,0
Bedroom Three (Master) in House Near JFK Airport,Cando,Queens,Jamaica,40.67424,-73.7971,Private room,57.0,30,218,2.83,3,152,4,0
Spectacular Loft Like Garden Floor,Leigh,Manhattan,Harlem,40.81009,-73.95471,Entire home/apt,203.0,30,78,0.99,1,87,0,0
Quiet Retreat E 62nd Street close to Central Park.,Lia,Manhattan,Upper East Side,40.76418,-73.96742,Entire home/apt,140.0,30,8,0.12,6,61,3,0
Urban Luxury Riverside Master Suite,Vanessa,Manhattan,Harlem,40.8243,-73.95547,Private room,72.0,30,143,1.82,12,113,2,0
Charming Park Avenue Elegance: Heart of Manhattan,Lia,Manhattan,Upper East Side,40.76418,-73.96742,Entire home/apt,108.0,30,12,0.32,6,81,6,0
Beautiful Family Size 2Br! Short/Long Term,Henry,Queens,College Point,40.77873,-73.84257,Entire home/apt,120.0,30,243,3.07,4,180,0,0
<A/C/G Trains> Home Share w/ Young Professionals,Olivier,Brooklyn,Bedford-Stuyvesant,40.68628,-73.95076,Private room,46.0,30,14,0.18,22,336,2,0
Tranquil Beauty Manhattan Suite,Vanessa,Manhattan,Harlem,40.82203,-73.95442,Private room,71.0,30,157,1.99,12,146,4,0
"Spacious, Bright Harlem Treetop Duplex",Jean,Manhattan,East Harlem,40.80764,-73.94039,Entire home/apt,386.0,30,121,1.52,1,358,0,0
"M&S Comfort Room. 
 Small and cozy.",Michelle,Queens,St. Albans,40.70602,-73.75861,Private room,65.0,30,168,2.11,5,364,0,0
Private room in cosy Upper Manhattan apartment.,Emilie,Manhattan,Inwood,40.86337,-73.92705,Private room,36.0,30,25,0.55,2,89,1,0
Brooklyn Home convenient to everywhere,Jian,Brooklyn,Sunset Park,40.63894,-74.0088,Private room,58.0,30,98,1.23,2,357,4,0
Cozy room at Pat's Paradise,Patricia,Queens,Rockaway Beach,40.5834,-73.81674,Private room,46.0,30,17,0.21,2,93,1,0
"豪华双人间
法拉盛步行地铁站",Sophia,Queens,Flushing,40.75012,-73.82915,Private room,40.0,30,1,0.02,1,180,0,0
Sunlit Loft Oasis In Old Factory + Sauna & Peloton,Nicollé And Craig,Brooklyn,Williamsburg,40.71534,-73.94539,Entire home/apt,354.0,30,9,0.11,1,179,0,0
3BR/2.5BTH Modern Brownstone Duplex w Terrace,Lisa,Brooklyn,Bedford-Stuyvesant,40.68762,-73.94259,Entire home/apt,461.0,30,104,1.33,1,68,5,0
HARLEM REBIRTH OF COOL,Armande,Manhattan,East Harlem,40.80732,-73.94025,Private room,60.0,30,69,0.86,6,180,0,0
Mid-century modern garden oasis,Thomas,Brooklyn,Crown Heights,40.6732,-73.95531,Entire home/apt,156.0,30,87,1.09,1,141,4,0
Private room w/ private bath. In mid Flushing,Liqin,Queens,Flushing,40.75951,-73.82139,Private room,118.0,1,305,3.8,6,332,61,1
Gorgeous room. private-bath. In room Mid Flushing.,Liqin,Queens,Flushing,40.7577,-73.81925,Private room,123.0,1,298,3.72,6,307,65,1
Cozy NYC Retreat,Christine,Manhattan,Harlem,40.82639,-73.93917,Private room,57.0,30,89,1.14,1,180,2,0
"Room in 3BR1BA APT, 2 mins walk 52st-Woodside (7)!",Kaz,Queens,Woodside,40.74378,-73.91098,Private room,40.0,30,6,0.08,42,331,1,0
"Che’ Randall 4
SoBro
10 minutes to Manhattan!",Rawn,Bronx,Longwood,40.81856,-73.90617,Private room,59.0,30,30,0.38,3,125,3,0
NYC Sunny Modern Private Bath - Clean Near All!,Margaret,Manhattan,East Harlem,40.79848,-73.94188,Private room,214.0,30,48,0.61,1,270,0,0
Jay's Studio Apartment,Jehan,Bronx,Allerton,40.8693,-73.85644,Entire home/apt,71.0,30,157,1.96,1,110,4,0
"Barolo, Queen bunk bed! 🔕 and calm area",Roberto,Brooklyn,East New York,40.66963,-73.87714,Private room,66.0,30,45,0.56,7,273,1,0
"Asti, near 3-4-A-C🚇,Self Check-In,quiet 🏡 area",Roberto,Brooklyn,East New York,40.66974,-73.87707,Private room,52.0,30,70,0.87,7,275,1,0
Room with a Gorgeous View /Near Time Square NYC,Rod,Manhattan,Hell's Kitchen,40.75941,-73.99837,Private room,107.0,30,1,0.05,1,177,0,0
Room with private deck,Jonathan,Staten Island,New Brighton,40.63601,-74.09102,Private room,41.0,30,21,0.52,4,137,0,0
Peace and Happiness In Park Slope,Nina,Brooklyn,Park Slope,40.66995,-73.97994,Entire home/apt,149.0,30,213,2.67,7,168,0,0
Chelsea,Yory,Manhattan,Chelsea,40.73877,-73.9994,Entire home/apt,91.0,30,10,0.15,1,41,1,0
Ridgewood Rooftop,Brian,Queens,Ridgewood,40.70641,-73.90935,Entire home/apt,366.0,30,193,2.41,2,364,0,0
Sunny Harlem Haven on a Beautiful Harlem Block,E Vera,Manhattan,Harlem,40.8108,-73.93952,Private room,119.0,30,62,0.78,1,83,0,0
2018Serenity,2018Serenity,Manhattan,East Harlem,40.7953,-73.94249,Private room,135.0,30,28,0.35,1,178,0,0
Cozy Williamsburg room,Russell,Brooklyn,Williamsburg,40.70833,-73.96582,Private room,52.0,1,220,2.74,2,48,23,1
"Private with AC, quite room in Brooklyn",Angie,Brooklyn,Crown Heights,40.67586058866017,-73.95610325038433,Private room,96.0,30,27,0.85,1,364,0,0
AKA Times Square - 1bedroom suite,Esther,Manhattan,Midtown,40.75595,-73.98326,Entire home/apt,525.0,7,47,1.2,14,345,42,1
"AKA Times Square - Studio with Office,",Esther,Manhattan,Theater District,40.7557,-73.98375,Entire home/apt,376.0,7,66,0.85,14,364,29,1
AKA Times Square - Spacious Hotel Room,Esther,Manhattan,Theater District,40.75776,-73.98352,Entire home/apt,305.0,7,3,0.07,14,361,0,1
AKA Times Square - 2Bed Suite w/ Washer/Dryer,Esther,Manhattan,Theater District,40.75745,-73.98309,Entire home/apt,651.0,7,100,2.05,14,364,15,1
"Blueground | Midtown, nr Times Sq, pool & fitness",Blueground,Manhattan,Theater District,40.7607614,-73.98610550000001,Entire home/apt,352.0,31,3,0.04,1194,30,0,0
"Designer Penthouse,",Lauren,Manhattan,Midtown,40.76469,-73.97665,Entire home/apt,710.0,7,1,0.05,17,364,0,1
Spacious Studio w/Wetbar,Lauren,Manhattan,Midtown,40.7648,-73.9767,Entire home/apt,340.0,7,13,0.27,17,364,0,1
Bronx Apartment-> BRAND NEW BUILDING-BUILT IN 2010,Steve,Bronx,Morris Park,40.85408,-73.85034,Private room,60.0,30,19,0.24,6,119,2,0
"Private Queen Bed, Bath & Garden in Park Slope",Artemie,Brooklyn,Sunset Park,40.66309,-73.992958,Entire home/apt,122.0,1,134,3.05,1,175,33,1
"Private big one bedroom apt, Brooklyn,NY",Olivia,Brooklyn,Brownsville,40.66539,-73.91393,Entire home/apt,79.0,30,155,1.98,1,168,5,0
Sunny Studio on East 88 St | Work & Study,Vladimir,Manhattan,Upper East Side,40.779522,-73.951111,Entire home/apt,130.0,30,44,0.55,1,215,0,0
Cozy Spacious Loft Convenient to City,Sami,Queens,Jackson Heights,40.75141,-73.8804,Entire home/apt,165.0,31,143,1.87,1,128,2,0
Extra cozy and large room near the city,Felicia,Bronx,Highbridge,40.83561,-73.92356,Private room,59.0,30,1,0.01,3,90,0,0
Sunny Large 1BR w/balcony,Richard,Queens,Bayside,40.7623,-73.77426,Entire home/apt,150.0,30,62,0.81,2,276,5,0
Studio Apartment in historic Sugar Hill townhouse,Paula,Manhattan,Harlem,40.829,-73.93897,Entire home/apt,113.0,30,146,1.85,2,269,0,0
"Cozy & Duplex, 1 Bedroom in a great location",Gamze,Brooklyn,Bedford-Stuyvesant,40.68176,-73.94784,Private room,117.0,30,0,0.0,1,89,0,0
Bay Ridge Bklyn entire spacious Basement Apartment,Alkhadher,Brooklyn,Bay Ridge,40.63745,-74.02606,Entire home/apt,153.0,30,100,1.26,1,211,0,0
"Spacious, Private Oasis in Historic Brownstone",Chantal,Brooklyn,Bedford-Stuyvesant,40.68767,-73.93675,Entire home/apt,138.0,30,477,5.99,1,60,0,0
Warm and Friendly Bronx Home,Harriet,Bronx,Edenwald,40.87941,-73.84292,Private room,52.0,30,24,0.3,2,156,0,0
"Bed-Stuy Life-Sun lite, Garden view",Linda,Brooklyn,Bedford-Stuyvesant,40.68579,-73.94151,Entire home/apt,191.0,7,193,2.43,2,177,30,1
Deluxe Double Room with 2 beds SHARED BATHROOM,Reservation Desk,Manhattan,Gramercy,40.73412,-73.98529,Private room,80.0,30,9,0.13,20,296,2,0
"Queens Apt (bedroom w balcony), close to subway",Rafael,Queens,Elmhurst,40.73763048814568,-73.8792672363077,Private room,85.0,3,82,1.03,2,147,19,1
Quiet room in trendy Williamsburg,Kandi,Brooklyn,Williamsburg,40.70763,-73.94223,Private room,90.0,30,79,1.01,2,150,1,0
Williamsburg nest with bathroom,Kandi,Brooklyn,Williamsburg,40.70957,-73.94176,Private room,89.0,30,237,3.02,2,174,6,0
Bushwick Art collective bedroom A,Adam,Brooklyn,Bushwick,40.70375,-73.91774,Private room,103.0,30,12,0.15,3,179,0,1
Bushwick Art collective haven,Adam,Brooklyn,Bushwick,40.70351,-73.91852,Entire home/apt,239.0,30,31,0.39,3,88,0,0
Brooklyn Serenity: Luxurious Minimalism,Ayan,Brooklyn,Crown Heights,40.67344,-73.96061,Entire home/apt,196.0,30,30,0.38,1,364,0,0
"New York, Jackson heights",Fred,Queens,Jackson Heights,40.75236,-73.87421,Private room,90.0,30,4,0.05,1,180,0,0
2 Bedroom with backyard and best location,Liat,Brooklyn,Cobble Hill,40.68644,-73.99917,Entire home/apt,270.0,30,161,2.03,1,208,1,0
Very cozy space for rent in Brooklyn,Lupe,Brooklyn,Dyker Heights,40.63058,-74.01451,Private room,84.0,30,24,0.43,1,363,0,0
Affordable bedroom in Brooklyn townhouse.,Julie,Brooklyn,East Flatbush,40.65062,-73.95227,Private room,71.0,1,438,5.53,2,40,90,1
