name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,total_reviews,reviews_per_month,host_listings_count,availability_365,number_of_reviews_ltm,has_license
Sunny 2 bdrm W'burg Duplex w/ 3 beds. 5* superhost,Ryan,Brooklyn,Williamsburg,40.71137,-73.9465,Entire home/apt,295.0,30,250,1.53,2,270,1,0
Great studio apt near Central Park,Kimball,Manhattan,Upper West Side,40.78764,-73.97274,Entire home/apt,127.0,30,110,0.67,1,87,5,0
"Your Haven Awaits At ""Emma's Place""",Lady Jay,Brooklyn,Bedford-Stuyvesant,40.68563832502508,-73.92470229417086,Private room,192.0,30,92,0.56,1,315,0,0
rooms for rent in Queens with piano,Melody,Queens,Ridgewood,40.70132,-73.90883,Private room,83.0,30,24,0.17,1,365,0,0
HUGE Sunny Duplex Loft with Garden,Bertie,Brooklyn,South Slope,40.66386,-73.98519,Entire home/apt,361.0,30,39,0.24,1,113,0,0
Stylish Studio with exclusive Terrace,Daniel,Manhattan,Midtown,40.75408,-73.97071,Entire home/apt,188.0,30,162,0.99,1,105,7,0
"LES private 1 bd apt, walk to *everthing*",Blue,Manhattan,Lower East Side,40.72113,-73.98442,Entire home/apt,108.0,30,118,0.72,1,237,3,0
Nice Bedroom near Manhattan for 2 pers,Victor,Bronx,Kingsbridge,40.8666,-73.90061,Private room,43.0,30,121,0.82,3,93,1,0
Brooklyn Brownstone home share,Alkhabir,Brooklyn,Bedford-Stuyvesant,40.68927,-73.95439,Private room,82.0,2,289,1.77,1,341,14,1
Loft Suite,The Box House Hotel,Brooklyn,Greenpoint,40.73756,-73.9535,Entire home/apt,246.0,1,36,0.22,29,274,1,1
"Bushwick, private bedroom private bathroom lux",Barry,Brooklyn,Bushwick,40.69913,-73.93107,Private room,95.0,30,41,0.27,1,365,0,0
"Sunny, Modern 1 BR in E. Williamsburg",Mary And Charles,Brooklyn,Williamsburg,40.71065,-73.94102,Entire home/apt,185.0,30,26,0.16,1,304,1,0
HANCOCK VERY SMALL ROOM,Fred,Brooklyn,Bedford-Stuyvesant,40.68532,-73.91881,Private room,119.0,30,7,0.04,4,365,0,0
The Lenox in Harlem,Yvette,Manhattan,Harlem,40.81146,-73.94469,Private room,121.0,30,11,0.07,2,358,0,0
Lg Rm in Historic Prospect Heights,Michael,Brooklyn,Prospect Heights,40.67376,-73.96611,Private room,200.0,90,9,0.05,1,362,0,0
"1 Bedroom & your own Bathroom, Elevator Apartment",Irene,Manhattan,East Harlem,40.79245376586914,-73.94074249267578,Private room,82.0,30,102,0.58,1,204,0,0
Luxury Brownstone in Boerum Hill,Sarah,Brooklyn,Boerum Hill,40.68442,-73.98068,Private room,765.0,3,43,0.28,1,326,0,1
Spectacular West Harlem Garden Apt,Matthew,Manhattan,Harlem,40.8180576,-73.9466707,Entire home/apt,139.0,2,241,1.36,1,25,42,1
“Work-from-home” from OUR home.,Gustavo,Brooklyn,Williamsburg,40.71065139770508,-73.95087432861328,Private room,130.0,4,274,1.54,2,38,12,1
1 br in a 2 br apt (Midtown West),Hubert,Manhattan,Hell's Kitchen,40.76203,-73.98869,Private room,139.0,30,44,0.25,2,365,0,0
Beautiful Lower East Side Loft,Koray,Manhattan,Lower East Side,40.71992,-73.99167,Entire home/apt,563.0,30,70,0.39,1,145,1,0
@HouseOnHenrySt - Private 2nd bedroom w/shared use,Annette,Brooklyn,Carroll Gardens,40.67813,-74.00062,Private room,185.0,30,220,1.25,4,364,0,0
Studio 3 blocks from Empire State Building,Thomas,Manhattan,Midtown,40.7449,-73.98499,Entire home/apt,165.0,30,4,0.04,1,365,0,0
BROOKLYN VICTORIAN STYLE SUITE.....,Carol,Brooklyn,Fort Greene,40.69287,-73.97108,Private room,110.0,30,232,1.32,2,365,0,0
Creative South Williamsburg Studio,Anastasia,Brooklyn,Williamsburg,40.70894,-73.95234,Entire home/apt,77.0,30,125,0.71,1,89,1,0
Beautiful Queens Brownstone! - 5BR,Mark,Queens,Ridgewood,40.70309,-73.89963,Entire home/apt,534.0,30,13,0.08,10,365,0,0
Room in Beautiful Townhouse.,L,Bronx,Mott Haven,40.80635,-73.92201,Private room,60.0,30,0,0.0,1,83,0,0
Couldn't Be Closer To Columbia Uni,Rahul,Manhattan,Morningside Heights,40.8063,-73.95985,Private room,97.0,31,134,0.78,2,317,1,0
Large Room pr/h Br/St in Park Slope,Kathleen R,Brooklyn,Park Slope,40.68009896425498,-73.9746189673198,Private room,85.0,30,74,0.42,3,200,5,1
Dreamy Loft Style w own bathroom,Angela,Brooklyn,Bedford-Stuyvesant,40.6829,-73.95701,Private room,95.0,30,28,0.17,6,280,3,0
"Private, sunny two-bedroom near subway & shops",Litza,Queens,Ditmars Steinway,40.77868,-73.90652,Private room,153.0,3,106,0.61,1,20,30,1
cozy studio with parking spot,Mark,Queens,Middle Village,40.71567,-73.87842,Entire home/apt,117.0,30,33,0.19,10,365,0,0
Clean and convenient 2BR apartment,Mark,Queens,Ridgewood,40.70422,-73.89778,Entire home/apt,223.0,30,5,0.03,10,365,0,0
